20050109:0810,77.0,9.96,8.54,4.48,0.0
20050109:0910,73.0,15.42,8.96,4.48,0.0
20050109:1010,137.0,18.75,9.93,4.55,0.0
20050109:1110,286.01,19.64,11.0,5.31,0.0
20050109:1210,62.0,17.98,11.4,5.38,0.0
20050109:1310,68.0,13.96,10.98,5.03,0.0
20050109:1410,75.0,7.93,10.6,4.76,0.0
20050109:1510,14.0,0.36,9.92,4.48,0.0
20050109:1610,0.0,0.0,8.99,4.21,0.0
20050109:1710,0.0,0.0,8.2,4.0,0.0
20050109:1810,0.0,0.0,7.48,3.79,0.0
20050109:1910,0.0,0.0,7.04,3.72,0.0
20050109:2010,0.0,0.0,6.65,3.59,0.0
20050109:2110,0.0,0.0,6.29,3.31,0.0
20050109:2210,0.0,0.0,5.71,2.9,0.0
20050109:2310,0.0,0.0,4.81,2.41,0.0
20050110:0010,0.0,0.0,3.53,1.66,0.0
20050110:0110,0.0,0.0,2.65,1.66,0.0
20050110:0210,0.0,0.0,1.4,1.72,0.0
20050110:0310,0.0,0.0,0.73,1.72,0.0
20050110:0410,0.0,0.0,0.84,1.45,0.0
20050110:0510,0.0,0.0,1.8,1.03,0.0
20050110:0610,0.0,0.0,1.57,1.03,0.0
20050110:0710,0.0,0.0,0.15,1.38,0.0
20050110:0810,113.01,10.05,1.93,0.76,0.0
20050110:0910,230.01,15.53,4.01,0.41,0.0
20050110:1010,298.01,18.88,6.71,0.21,0.0
20050110:1110,348.02,19.79,8.53,0.41,0.0
20050110:1210,316.01,18.15,9.75,0.69,0.0
20050110:1310,243.01,14.12,10.29,0.97,0.0
20050110:1410,145.01,8.11,9.93,1.17,0.0
20050110:1510,13.0,0.54,8.63,1.52,0.0
20050110:1610,0.0,0.0,6.27,1.24,0.0
20050110:1710,0.0,0.0,6.33,0.83,0.0
20050110:1810,0.0,0.0,5.91,0.34,0.0
20050110:1910,0.0,0.0,5.23,0.14,0.0
20050110:2010,0.0,0.0,4.41,0.55,0.0
20050110:2110,0.0,0.0,3.51,0.48,0.0
20050110:2210,0.0,0.0,2.82,0.55,0.0
20050110:2310,0.0,0.0,2.42,0.9,0.0
20050111:0010,0.0,0.0,1.93,0.9,0.0
20050111:0110,0.0,0.0,1.39,0.9,0.0
20050111:0210,0.0,0.0,0.2,1.1,0.0
20050111:0310,0.0,0.0,-0.98,1.38,0.0
20050111:0410,0.0,0.0,-1.51,1.52,0.0
20050111:0510,0.0,0.0,-1.98,1.79,0.0
20050111:0610,0.0,0.0,-1.87,2.07,0.0
20050111:0710,0.0,0.0,1.62,4.0,0.0
20050111:0810,101.0,10.14,3.82,4.48,0.0
20050111:0910,217.01,15.64,5.49,4.41,0.0
20050111:1010,284.01,19.02,6.91,4.0,0.0
20050111:1110,341.02,19.95,7.53,3.86,0.0
20050111:1210,331.02,18.31,8.59,3.59,0.0
20050111:1310,248.01,14.3,9.11,3.1,0.0
20050111:1410,151.01,8.28,8.68,2.55,0.0
20050111:1510,11.0,0.71,7.56,2.34,0.0
20050111:1610,0.0,0.0,5.88,2.41,0.0
20050111:1710,0.0,0.0,4.0,2.41,0.0
20050111:1810,0.0,0.0,2.31,2.34,0.0
20050111:1910,0.0,0.0,1.11,2.28,0.0
20050111:2010,0.0,0.0,0.31,2.21,0.0
20050111:2110,0.0,0.0,-0.34,2.21,0.0
20050111:2210,0.0,0.0,-0.91,2.07,0.0
20050111:2310,0.0,0.0,-1.42,1.93,0.0
20050112:0010,0.0,0.0,-1.86,1.79,0.0
20050112:0110,0.0,0.0,-2.14,1.59,0.0
20050112:0210,0.0,0.0,-2.42,1.45,0.0
20050112:0310,0.0,0.0,-2.33,1.31,0.0
20050112:0410,0.0,0.0,-2.26,1.24,0.0
20050112:0510,0.0,0.0,-1.99,1.1,0.0
20050112:0610,0.0,0.0,-1.79,1.03,0.0
20050112:0710,0.0,0.0,-1.61,1.38,0.0
20050112:0810,83.0,10.24,-0.03,0.97,0.0
20050112:0910,102.0,15.76,2.84,0.97,0.0
20050112:1010,187.0,19.16,4.89,0.97,0.0
20050112:1110,327.01,20.11,6.66,0.9,0.0
20050112:1210,326.01,18.49,7.42,0.9,0.0
20050112:1310,264.01,14.48,7.37,1.1,0.0
20050112:1410,118.0,8.47,6.51,1.59,0.0
20050112:1510,17.0,0.89,5.22,1.79,0.0
20050112:1610,0.0,0.0,3.69,1.86,0.0
20050112:1710,0.0,0.0,2.75,1.66,0.0
20050112:1810,0.0,0.0,2.53,1.45,0.0
20050112:1910,0.0,0.0,2.28,1.59,0.0
20050112:2010,0.0,0.0,2.18,1.31,0.0
20050112:2110,0.0,0.0,2.1,1.17,0.0
20050112:2210,0.0,0.0,2.2,1.1,0.0
20050112:2310,0.0,0.0,1.57,1.31,0.0
20050113:0010,0.0,0.0,0.97,1.31,0.0
20050113:0110,0.0,0.0,0.76,1.31,0.0
20050113:0210,0.0,0.0,0.23,1.45,0.0
20050113:0310,0.0,0.0,-0.18,1.59,0.0
20050113:0410,0.0,0.0,0.4,1.79,0.0
20050113:0510,0.0,0.0,2.36,2.48,0.0
20050113:0610,0.0,0.0,4.05,3.45,0.0
20050113:0710,0.0,0.0,4.89,3.79,0.0
20050113:0810,71.0,10.35,5.34,4.14,0.0
20050113:0910,29.0,15.89,5.94,4.41,0.0
20050113:1010,35.0,19.31,6.92,4.14,0.0
20050113:1110,97.0,20.28,7.4,4.28,0.0
20050113:1210,68.0,18.67,7.24,4.9,0.0
20050113:1310,45.0,14.67,7.3,4.83,0.0
20050113:1410,33.0,8.65,6.99,5.24,0.0
20050113:1510,9.0,1.08,5.97,4.69,0.0
20050113:1610,0.0,0.0,4.64,4.34,0.0
20050113:1710,0.0,0.0,3.71,4.41,0.0
20050113:1810,0.0,0.0,3.19,4.69,0.0
20050113:1910,0.0,0.0,2.86,4.07,0.0
20050113:2010,0.0,0.0,2.52,4.48,0.0
20050113:2110,0.0,0.0,2.29,4.55,0.0
20050113:2210,0.0,0.0,2.02,4.62,0.0
20050113:2310,0.0,0.0,1.74,4.62,0.0
20050114:0010,0.0,0.0,1.5,4.55,0.0
20050114:0110,0.0,0.0,1.24,4.48,0.0
20050114:0210,0.0,0.0,1.06,4.48,0.0
20050114:0310,0.0,0.0,0.98,4.34,0.0
20050114:0410,0.0,0.0,0.69,4.21,0.0
20050114:0510,0.0,0.0,0.66,4.28,0.0
20050114:0610,0.0,0.0,0.72,4.21,0.0
20050114:0710,0.0,0.0,1.21,4.55,0.0
20050114:0810,23.0,10.46,1.73,4.55,0.0
20050114:0910,178.0,16.03,2.84,4.07,0.0
20050114:1010,109.0,19.47,3.75,5.17,0.0
20050114:1110,233.0,20.45,4.4,5.52,0.0
20050114:1210,33.0,18.86,4.58,5.31,0.0
20050114:1310,24.0,14.86,4.68,5.17,0.0
20050114:1410,91.0,8.85,4.38,4.41,0.0
20050114:1510,21.0,1.27,3.5,4.14,0.0
20050114:1610,0.0,0.0,2.44,3.72,0.0
