20160108:1310,534.16,553.38,13.77,7.21,4.34,0.0
20160108:1410,18.95,31.97,7.74,6.37,3.52,0.0
20160108:1510,0.0,0.0,0.0,4.58,2.28,0.0
20160108:1610,0.0,0.0,0.0,1.98,1.52,0.0
20160108:1710,0.0,0.0,0.0,-0.1,1.72,0.0
20160108:1810,0.0,0.0,0.0,-0.36,1.45,0.0
20160108:1910,0.0,0.0,0.0,0.43,0.48,0.0
20160108:2010,0.0,0.0,0.0,0.02,1.03,0.0
20160108:2110,0.0,0.0,0.0,-1.61,1.45,0.0
20160108:2210,0.0,0.0,0.0,-2.49,1.72,0.0
20160108:2310,0.0,0.0,0.0,-3.03,1.79,0.0
20160109:0010,0.0,0.0,0.0,-2.93,1.93,0.0
20160109:0110,0.0,0.0,0.0,-3.12,2.0,0.0
20160109:0210,0.0,0.0,0.0,-2.44,1.79,0.0
20160109:0310,0.0,0.0,0.0,-1.97,1.72,0.0
20160109:0410,0.0,0.0,0.0,-1.57,1.24,0.0
20160109:0510,0.0,0.0,0.0,-0.76,0.76,0.0
20160109:0610,0.0,0.0,0.0,-0.51,0.55,0.0
20160109:0710,0.0,3.46,2.85,-0.32,0.62,0.0
20160109:0810,48.65,62.81,9.99,0.21,0.34,0.0
20160109:0910,42.78,57.07,15.44,0.83,0.41,0.0
20160109:1010,86.67,101.48,18.77,1.67,0.62,0.0
20160109:1110,230.71,241.17,19.64,2.23,0.97,0.0
20160109:1210,83.66,98.7,17.97,2.59,1.59,0.0
20160109:1310,36.38,50.63,13.93,2.43,1.93,0.0
20160109:1410,6.04,15.55,7.9,2.47,2.14,0.0
20160109:1510,0.0,0.0,0.0,2.14,1.72,0.0
20160109:1610,0.0,0.0,0.0,1.7,1.86,0.0
20160109:1710,0.0,0.0,0.0,1.52,1.72,0.0
20160109:1810,0.0,0.0,0.0,1.38,1.52,0.0
20160109:1910,0.0,0.0,0.0,0.97,1.93,0.0
20160109:2010,0.0,0.0,0.0,0.85,1.79,0.0
